Location,Population,date,HighestInfectionCount,PercentPopulationInfected
Mongolia,3398373,11-11-2021,629272,18.51686086
Bahrain,1472237,31-08-2021,272540,18.51196513
Serbia,6871547,10-12-2021,1271794,18.5081176
Bahrain,1472237,30-08-2021,272453,18.50605575
Bahrain,1472237,29-08-2021,272341,18.49844828
Lithuania,2750058,21-12-2021,508639,18.49557355
Andorra,79843,03-08-2021,14766,18.49379407
Bahrain,1472237,28-08-2021,272246,18.49199551
Montenegro,627082,01-09-2021,115956,18.49136158
Serbia,6871547,09-12-2021,1270407,18.48793292
Georgia,3744385,24-10-2021,692240,18.48741516
Seychelles,107135,26-08-2021,19806,18.48695571
Bahrain,1472237,27-08-2021,272148,18.48533898
Bahrain,1472237,26-08-2021,272042,18.47813905
Slovenia,2119843,18-11-2021,391677,18.47669851
Bahrain,1472237,25-08-2021,271933,18.47073535
Andorra,79843,02-08-2021,14747,18.46999737
Serbia,6871547,08-12-2021,1268787,18.46435744
Bahrain,1472237,24-08-2021,271803,18.46190525
Bahrain,1472237,23-08-2021,271715,18.45592795
San Marino,33690,06-12-2021,6217,18.45354705
Seychelles,107135,25-08-2021,19770,18.45335325
Gibraltar,32677,02-11-2021,6029,18.45028613
Bahrain,1472237,22-08-2021,271631,18.45022235
Slovakia,5643455,18-11-2021,1040996,18.44607603
Bahrain,1472237,21-08-2021,271534,18.44363374
Lithuania,2750058,20-12-2021,507154,18.44157469
Serbia,6871547,07-12-2021,1267112,18.43998156
Bahrain,1472237,20-08-2021,271432,18.4367055
Bahrain,1472237,19-08-2021,271353,18.43133952
Bahrain,1472237,18-08-2021,271257,18.42481883
Mongolia,3398373,10-11-2021,626068,18.42258045
Lithuania,2750058,19-12-2021,506505,18.41797518
Bahrain,1472237,17-08-2021,271130,18.4161925
Serbia,6871547,06-12-2021,1265228,18.41256416
Bahrain,1472237,16-08-2021,271025,18.4090605
Bahrain,1472237,15-08-2021,270919,18.40186057
Montenegro,627082,31-08-2021,115385,18.4003049
Georgia,3744385,23-10-2021,688804,18.39565109
Bahrain,1472237,14-08-2021,270816,18.39486441
Czechia,10493990,17-11-2021,1930214,18.39351858
Serbia,6871547,05-12-2021,1263663,18.38978908
Bahrain,1472237,13-08-2021,270692,18.38644186
Andorra,79843,31-07-2021,14678,18.38357777
Andorra,79843,01-08-2021,14678,18.38357777
Andorra,79843,30-07-2021,14678,18.38357777
Bahrain,1472237,12-08-2021,270590,18.37951362
Serbia,6871547,04-12-2021,1262419,18.37168544
Bahrain,1472237,11-08-2021,270451,18.37007221
Seychelles,107135,24-08-2021,19680,18.36934709
Lithuania,2750058,18-12-2021,505089,18.36648536
Bahrain,1472237,10-08-2021,270290,18.35913647
Andorra,79843,29-07-2021,14655,18.35477124
Gibraltar,32677,01-11-2021,5997,18.35235793
Bahrain,1472237,09-08-2021,270161,18.35037429
Serbia,6871547,03-12-2021,1260806,18.34821184
Bahrain,1472237,08-08-2021,270060,18.34351399
Gibraltar,32677,31-10-2021,5992,18.33705665
Bahrain,1472237,07-08-2021,269949,18.33597444
United Kingdom,67508936,28-12-2021,12377822,18.33508678
Bahrain,1472237,06-08-2021,269848,18.32911413
Serbia,6871547,02-12-2021,1259005,18.32200231
Bahrain,1472237,05-08-2021,269737,18.32157458
Bahrain,1472237,04-08-2021,269617,18.31342372
Mongolia,3398373,09-11-2021,622206,18.30893784
Bahrain,1472237,03-08-2021,269495,18.30513701
Montenegro,627082,30-08-2021,114787,18.30494258
Slovenia,2119843,17-11-2021,388011,18.30376117
Seychelles,107135,23-08-2021,19609,18.30307556
Lithuania,2750058,17-12-2021,503324,18.3023049
Bahrain,1472237,02-08-2021,269401,18.29875217
Serbia,6871547,01-12-2021,1257025,18.29318784
Bahrain,1472237,01-08-2021,269303,18.29209563
Slovakia,5643455,17-11-2021,1032240,18.29092285
Bahrain,1472237,31-07-2021,269186,18.28414854
Gibraltar,32677,30-10-2021,5974,18.28197203
Seychelles,107135,22-08-2021,19586,18.28160732
Bahrain,1472237,30-07-2021,269080,18.27694862
Georgia,3744385,22-10-2021,684337,18.27635246
Maldives,523798,31-12-2021,95700,18.27040195
Bahrain,1472237,29-07-2021,268974,18.26974869
Andorra,79843,27-07-2021,14586,18.26835164
Andorra,79843,28-07-2021,14586,18.26835164
Serbia,6871547,30-11-2021,1254845,18.26146281
Bahrain,1472237,28-07-2021,268846,18.26105444
Andorra,79843,26-07-2021,14577,18.25707952
Bahrain,1472237,27-07-2021,268731,18.25324319
San Marino,33690,03-12-2021,6148,18.2487385
