Location,Population,date,HighestInfectionCount,PercentPopulationInfected
Seychelles,107135,2021-11-02,22280,20.79619172
Slovenia,2119843,2021-12-13,440633,20.78611482
Seychelles,107135,2021-11-01,22265,20.78219069
Seychelles,107135,2021-10-29,22243,20.76165585
Seychelles,107135,2021-10-30,22243,20.76165585
Seychelles,107135,2021-10-31,22243,20.76165585
Slovenia,2119843,2021-12-12,439952,20.7539898
Gibraltar,32677,2021-11-18,6780,20.74853873
Andorra,79843,2021-11-25,16566,20.74821838
Slovakia,5643455,2021-11-30,1170200,20.7355246
Seychelles,107135,2021-10-28,22213,20.7336538
Montenegro,627082,2021-09-27,129990,20.7293464
Georgia,3744385,2021-11-12,775826,20.71971766
Slovenia,2119843,2021-12-11,439169,20.7170531
Czechia,10493990,2021-12-01,2172084,20.69836163
Seychelles,107135,2021-10-27,22174,20.69725113
Seychelles,107135,2021-10-26,22150,20.67484949
Montenegro,627082,2021-09-26,129648,20.67480808
Seychelles,107135,2021-10-25,22135,20.66084846
Slovenia,2119843,2021-12-10,437689,20.64723661
Seychelles,107135,2021-10-22,22102,20.6300462
Seychelles,107135,2021-10-23,22102,20.6300462
Seychelles,107135,2021-10-24,22102,20.6300462
Montenegro,627082,2021-09-25,129285,20.61692091
Seychelles,107135,2021-10-21,22071,20.60111075
Georgia,3744385,2021-11-11,771381,20.60100657
Slovenia,2119843,2021-12-09,436366,20.58482633
Andorra,79843,2021-11-24,16426,20.57287427
Seychelles,107135,2021-10-20,22039,20.57124189
Gibraltar,32677,2021-11-17,6721,20.5679836
Slovakia,5643455,2021-11-29,1159767,20.55065558
Montenegro,627082,2021-09-24,128796,20.53894068
Seychelles,107135,2021-10-19,21991,20.52643861
San Marino,33690,2021-12-16,6915,20.52537845
Slovenia,2119843,2021-12-08,434679,20.50524496
Czechia,10493990,2021-11-30,2150042,20.4883176
Seychelles,107135,2021-10-18,21947,20.48536893
Georgia,3744385,2021-11-10,766818,20.47914411
Montenegro,627082,2021-09-23,128377,20.47212326
Andorra,79843,2021-11-23,16342,20.4676678
Slovenia,2119843,2021-12-07,432793,20.41627611
Slovakia,5643455,2021-11-28,1152125,20.41524208
Andorra,79843,2021-11-22,16299,20.41381211
Seychelles,107135,2021-10-14,21854,20.39856256
Seychelles,107135,2021-10-16,21854,20.39856256
Seychelles,107135,2021-10-17,21854,20.39856256
Seychelles,107135,2021-10-15,21854,20.39856256
Montenegro,627082,2021-09-22,127894,20.39509984
Mongolia,3398373,2021-12-31,692621,20.38095877
Seychelles,107135,2021-10-13,21826,20.37242731
Mongolia,3398373,2021-12-30,692028,20.36350924
Mongolia,3398373,2021-12-29,691786,20.35638819
Seychelles,107135,2021-10-12,21799,20.34722546
Mongolia,3398373,2021-12-28,691355,20.34370565
Mongolia,3398373,2021-12-27,690950,20.33178818
Czechia,10493990,2021-11-29,2133098,20.32685375
Georgia,3744385,2021-11-09,761067,20.32555413
Slovenia,2119843,2021-12-06,430839,20.32409947
Mongolia,3398373,2021-12-26,690677,20.32375493
Czechia,10493990,2021-11-28,2132380,20.32001174
Seychelles,107135,2021-10-11,21769,20.31922341
Montenegro,627082,2021-09-21,127326,20.30452158
Mongolia,3398373,2021-12-25,689972,20.3030097
Gibraltar,32677,2021-11-16,6634,20.30174129
Mongolia,3398373,2021-12-24,689662,20.29388769
Slovenia,2119843,2021-12-05,430064,20.28754016
Mongolia,3398373,2021-12-23,689432,20.28711975
Seychelles,107135,2021-10-09,21726,20.27908713
Seychelles,107135,2021-10-10,21726,20.27908713
Seychelles,107135,2021-10-08,21726,20.27908713
Mongolia,3398373,2021-12-22,688867,20.27049415
Seychelles,107135,2021-10-07,21705,20.2594857
Slovakia,5643455,2021-11-27,1143068,20.25475529
Mongolia,3398373,2021-12-21,688049,20.2464238
Slovenia,2119843,2021-12-04,428945,20.23475323
Mongolia,3398373,2021-12-20,687432,20.22826806
Mongolia,3398373,2021-12-19,687123,20.21917547
San Marino,33690,2021-12-15,6807,20.20480855
Montenegro,627082,2021-09-20,126684,20.20214262
Mongolia,3398373,2021-12-18,686500,20.20084317
Seychelles,107135,2021-10-06,21626,20.18574695
Mongolia,3398373,2021-12-17,685798,20.18018622
Georgia,3744385,2021-11-08,755046,20.16475336
Mongolia,3398373,2021-12-16,685114,20.16005895
Andorra,79843,2021-11-19,16086,20.14703856
Andorra,79843,2021-11-20,16086,20.14703856
Andorra,79843,2021-11-21,16086,20.14703856
Slovenia,2119843,2021-12-03,427035,20.14465222
Mongolia,3398373,2021-12-15,684250,20.13463502
Montenegro,627082,2021-09-19,126259,20.13436839
Seychelles,107135,2021-10-04,21556,20.12040883
Seychelles,107135,2021-10-05,21556,20.12040883
Czechia,10493990,2021-11-27,2110274,20.10935783
Mongolia,3398373,2021-12-14,683333,20.10765151
Georgia,3744385,2021-11-07,752855,20.10623908
Mongolia,3398373,2021-12-13,682727,20.08981945
Andorra,79843,2021-11-18,16035,20.08316321
Gibraltar,32677,2021-11-15,6561,20.07834257
Mongolia,3398373,2021-12-12,682326,20.07801969
Seychelles,107135,2021-10-01,21507,20.07467214
Seychelles,107135,2021-10-02,21507,20.07467214
Seychelles,107135,2021-10-03,21507,20.07467214
Slovenia,2119843,2021-12-02,425288,20.06224046
Mongolia,3398373,2021-12-11,681760,20.06136466
Montenegro,627082,2021-09-18,125728,20.04969047
Slovakia,5643455,2021-11-26,1131206,20.0445649
Seychelles,107135,2021-09-30,21473,20.04293648
Seychelles,107135,2021-09-29,21473,20.04293648
Mongolia,3398373,2021-12-10,680891,20.0357936
Mongolia,3398373,2021-12-09,679945,20.00795675
Andorra,79843,2021-11-17,15972,20.00425836
Georgia,3744385,2021-11-06,748751,19.99663496
Mongolia,3398373,2021-12-08,678950,19.97867803
Slovenia,2119843,2021-12-01,423162,19.96195001
Montenegro,627082,2021-09-17,125128,19.9540092
Seychelles,107135,2021-09-27,21374,19.95052971
Seychelles,107135,2021-09-28,21374,19.95052971
